,Cost
0,-4209.250000047494
1,-3770.0000000130462
2,-4214.000000028702
3,-2933.2500000131467
4,-4112.750000029788
5,-4262.000000031787
6,-5713.500000037344
7,-4015.0000000270916
8,-4672.750000018961
9,-3836.00000001418
